method1;val1;method2;val2;ref1;ref2;;;;
GMA tests;0,65;None;0;;;;;;
GMA tests;0,65;Integrity tests;0,13;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Employment interviews (structured);0,117;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Employment interviews (unstructured);0,087;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Interests;0,062;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Phone-based interview;0,057;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Conscientiousness;0,053;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Reference checks;0,05;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Openness to experience;0,039;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Biographical data;0,036;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Job experience (years);0,032;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Personality-based Emotional Intelligence;0,029;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Person-organization fit;0,024;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Situational judgment test (knowledge);0,015;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Person-job fit;0,014;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Assessment centers;0,013;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Training & Experience point method;0,009;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Grade point average;0,009;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Years of education;0,008;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Extraversion;0,006;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Peer ratings;0,006;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Ability-based Emotional Intelligence;0,004;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Agreeableness;0,002;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Work sample tests;0,002;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Situational judgment test (behavioral tendency);0,001;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Emotional Stability;1,00E-100;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Graphology;1,00E-101;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Job tryout procedure;1,00E-102;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Behavioral consistency method;1,00E-103;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Job knowledge tests;1,00E-104;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Age;1,00E-105;Schmidt_Le_Oh_2016;Schmidt_Le_Oh_2016;;;;
GMA tests;0,65;Coin toss;1,00E-106;;;;;;
Integrity tests;0,46;None;;Schmidt_Le_Oh_2016;;;;;
Employment interviews (structured);0,58;None;;Schmidt_Le_Oh_2016;;;;;
Employment interviews (unstructured);0,58;None;;Schmidt_Le_Oh_2016;;;;;
Interests;0,31;None;;Schmidt_Le_Oh_2016;;;;;
Phone-based interview;0,46;None;;Schmidt_Le_Oh_2016;;;;;
Conscientiousness;0,22;None;;Schmidt_Le_Oh_2016;;;;;
Reference checks;0,26;None;;Schmidt_Le_Oh_2016;;;;;
Openness to experience;0,04;None;;Schmidt_Le_Oh_2016;;;;;
Biographical data;0,35;None;;Schmidt_Le_Oh_2016;;;;;
Job experience (years);0,16;None;;Schmidt_Le_Oh_2016;;;;;
Personality-based Emotional Intelligence;0,32;None;;Schmidt_Le_Oh_2016;;;;;
Person-organization fit;0,13;None;;Schmidt_Le_Oh_2016;;;;;
Situational judgment test (knowledge);0,26;None;;Schmidt_Le_Oh_2016;;;;;
Person-job fit;0,18;None;;Schmidt_Le_Oh_2016;;;;;
Assessment centers;0,36;None;;Schmidt_Le_Oh_2016;;;;;
Training & Experience point method;0,11;None;;Schmidt_Le_Oh_2016;;;;;
Grade point average;0,34;None;;Schmidt_Le_Oh_2016;;;;;
Years of education;0,1;None;;Schmidt_Le_Oh_2016;;;;;
Extraversion;0,09;None;;Schmidt_Le_Oh_2016;;;;;
Peer ratings;0,49;None;;Schmidt_Le_Oh_2016;;;;;
Ability-based Emotional Intelligence;0,23;None;;Schmidt_Le_Oh_2016;;;;;
Agreeableness;0,08;None;;Schmidt_Le_Oh_2016;;;;;
Work sample tests;0,33;None;;Schmidt_Le_Oh_2016;;;;;
Situational judgment test (behavioral tendency);0,26;None;;Schmidt_Le_Oh_2016;;;;;
Emotional Stability;0,12;None;;Schmidt_Le_Oh_2016;;;;;
Graphology;0,02;None;;Schmidt_Le_Oh_2016;;;;;
Job tryout procedure;0,44;None;;Schmidt_Le_Oh_2016;;;;;
Behavioral consistency method;0,45;None;;Schmidt_Le_Oh_2016;;;;;
Job knowledge tests;0,48;None;;Schmidt_Le_Oh_2016;;;;;
Age;1,00E-200;None;;Schmidt_Le_Oh_2016;;;;;
Coin toss;1,00E-201;None;;;;;;;
